Nama Pekerjaan,Perusahaan,Lokasi,Gaji,Deskripsi Pekerjaan,Kategori Minat,Kemampuan Dibutuhkan,Kondisi Kesehatan,Posisi,Kualifikasi,Minimal Pengalaman,Tipe Pekerjaan
Staf Kebersihan Restoran,Restoran Tradisional Mandiri,Surabaya,Rp 2.400.000,"Membersihkan area makan, mencuci piring, dan menjaga kebersihan umum restoran.",Lingkungan dan alam,"Menjaga kebersihan, Ketelitian, Ketahanan fisik ringan","Tidak boleh mengangkat beban berat, Membutuhkan istirahat berkala",Staf Kebersihan Restoran,Lulusan SMP/SMK,0-1 tahun,Full-time
Asisten Desain Pakaian,Studio Fashion Nusantara,Medan,Rp 3.200.000,Membantu membuat pola desain pakaian sederhana untuk produksi massal.,"Seni, Kerajinan tangan","Kreativitas, Koordinasi tangan dan mata, Ketelitian",Membutuhkan lingkungan kerja tenang,Asisten Desain Pakaian,Lulusan SMA/SMK,1-2 tahun,Full-time
Penata Dekorasi Ulang Tahun,PT Dekorasi Bahagia,Jakarta,Rp 2.800.000,"Mengatur dekorasi untuk pesta ulang tahun, termasuk balon dan hiasan meja.","Seni, Lingkungan dan alam","Kreativitas, Ketelitian, Koordinasi tangan dan mata",Membutuhkan lingkungan kerja tenang,Penata Dekorasi Ulang Tahun,Lulusan SMA/SMK,1-2 tahun,Full-time
Tukang Jahit Tas Kecil,Konveksi Aksesoris Nusantara,Bandung,Rp 3.000.000,Membuat tas kecil dari kain sederhana untuk dijual di toko lokal.,"Kerajinan tangan, Seni","Ketelitian, Kreativitas, Koordinasi tangan dan mata",Membutuhkan lingkungan kerja tenang,Tukang Jahit Tas Kecil,Lulusan SMA/SMK,1-2 tahun,Full-time
Asisten Toko Perlengkapan,Toko Perlengkapan Rumah,Surabaya,Rp 2.400.000,"Membantu pelanggan mencari barang, menjaga stok, dan menjaga kebersihan area toko.","Sosial, Lingkungan dan alam","Berbicara dengan orang lain, Menjaga kebersihan, Ketelitian","Tidak boleh berdiri terlalu lama, Membutuhkan lingkungan kerja tenang",Asisten Toko Perlengkapan,Lulusan SMP/SMK,0-1 tahun,Full-time
Teknisi Printer Sederhana,PT Teknologi Digital Mandiri,Medan,Rp 3.500.000,Memperbaiki printer kecil dan mengganti komponen seperti cartridge.,Teknologi dasar,"Pemecahan masalah sederhana, Ketelitian, Kreativitas",Membutuhkan lingkungan kerja tenang,Teknisi Printer Sederhana,Lulusan SMA/SMK,1-2 tahun,Full-time
Pembersih Fasilitas Gedung,PT Kebersihan Bangunan,Solo,Rp 2.400.000,"Membersihkan gedung perkantoran, termasuk ruang kerja dan toilet.",Lingkungan dan alam,"Menjaga kebersihan, Ketelitian, Ketahanan fisik ringan","Tidak boleh mengangkat beban berat, Membutuhkan istirahat berkala",Pembersih Fasilitas Gedung,Lulusan SMP/SMK,0-1 tahun,Full-time
Penata Dekorasi Festival,PT Festival Kreatif Nusantara,Jakarta,Rp 3.200.000,Menata dekorasi untuk festival budaya seperti ornamen tradisional dan lampu hias.,"Seni, Lingkungan dan alam","Kreativitas, Ketelitian, Koordinasi tangan dan mata",Membutuhkan lingkungan kerja tenang,Penata Dekorasi Festival,Lulusan SMA/SMK,1-2 tahun,Full-time
Staf Produksi Lilin Hias,Sanggar Lilin Tradisional,Bandung,Rp 2.900.000,Membuat lilin hias sederhana untuk dekorasi atau souvenir.,"Kerajinan tangan, Seni","Ketelitian, Kreativitas, Koordinasi tangan dan mata",Membutuhkan lingkungan kerja tenang,Staf Produksi Lilin Hias,Lulusan SMP/SMK,0-1 tahun,Full-time
Penjaga Stand Jualan,Pasar Rakyat Nusantara,Surabaya,Rp 2.500.000,"Menjaga stand penjualan, melayani pelanggan, dan menjaga stok barang.","Sosial, Lingkungan dan alam","Berbicara dengan orang lain, Ketelitian, Menjaga kebersihan","Tidak boleh berdiri terlalu lama, Membutuhkan istirahat berkala",Penjaga Stand Jualan,Lulusan SMP/SMK,0-1 tahun,Full-time
Perajin Perhiasan Sederhana,Sanggar Perhiasan Nusantara,Medan,Rp 3.000.000,Membuat perhiasan sederhana seperti gelang dan anting dari logam ringan.,"Kerajinan tangan, Seni","Kreativitas, Ketelitian, Koordinasi tangan dan mata","Tidak cocok di suhu dingin, Membutuhkan lingkungan kerja bebas tekanan",Perajin Perhiasan Sederhana,Lulusan SMP/SMK,0-1 tahun,Full-time
Teknisi AC Rumah Tangga,PT Peralatan Rumah Mandiri,Solo,Rp 3.500.000,"Memperbaiki AC rumah tangga, mengganti filter, dan memastikan perangkat bekerja dengan baik.",Teknologi dasar,"Pemecahan masalah sederhana, Ketelitian, Kreativitas",Membutuhkan lingkungan kerja tenang,Teknisi AC Rumah Tangga,Lulusan SMA/SMK,1-2 tahun,Full-time
Tukang Roti Manis,Toko Roti Klasik,Jakarta,Rp 2.700.000,Membuat roti manis sederhana seperti donat atau roti cokelat.,Memasak,"Mengikuti langkah sederhana, Ketelitian, Kreativitas",Tidak alergi bahan kimia tertentu,Tukang Roti Manis,Lulusan SMP/SMK,0-1 tahun,Full-time
Penata Stand Pameran,PT Pameran Nusantara Kreatif,Bandung,Rp 3.200.000,"Mengatur tata letak stand pameran, menjaga kebersihan, dan membantu pengunjung.","Seni, Lingkungan dan alam","Kreativitas, Berbicara dengan orang lain, Ketelitian",Membutuhkan lingkungan kerja tenang,Penata Stand Pameran,Lulusan SMP/SMK,1-2 tahun,Full-time
Staf Inventaris Barang,Gudang Barang Nusantara,Surabaya,Rp 2.600.000,"Memeriksa inventaris barang, mencatat stok, dan menjaga kerapian area kerja.","Lingkungan dan alam, Teknologi dasar","Ketelitian, Mengetik, Mengatur waktu","Tidak boleh mengangkat beban berat, Membutuhkan lingkungan kerja tenang",Staf Inventaris Barang,Lulusan SMP/SMK,0-1 tahun,Full-time
Teknisi Kabel Listrik,PT Listrik Tradisional,Medan,Rp 3.500.000,Memasang kabel listrik sederhana untuk rumah atau kantor kecil.,Teknologi dasar,"Pemecahan masalah sederhana, Ketelitian, Kreativitas",Membutuhkan lingkungan kerja tenang,Teknisi Kabel Listrik,Lulusan SMA/SMK,1-2 tahun,Full-time
Penata Ruang Tamu,Dekorasi Rumah Nusantara,Solo,Rp 3.000.000,Mengatur tata letak dekorasi ruang tamu untuk acara keluarga atau pesta kecil.,"Seni, Lingkungan dan alam","Kreativitas, Ketelitian, Koordinasi tangan dan mata",Membutuhkan lingkungan kerja tenang,Penata Ruang Tamu,Lulusan SMP/SMK,0-1 tahun,Full-time
Pengawas Anak Bermain,Taman Bermain Nusantara,Jakarta,Rp 2.800.000,"Mengawasi anak-anak bermain, memastikan keamanan area bermain, dan membantu aktivitas sederhana.","Lingkungan dan alam, Sosial","Kesabaran, Kreativitas, Berbicara dengan orang lain",Membutuhkan istirahat berkala,Pengawas Anak Bermain,Lulusan SMP/SMK,0-1 tahun,Part-time
Asisten Produksi Sepatu,PT Sepatu Tradisional,Bandung,Rp 3.200.000,"Membantu proses produksi sepatu sederhana, termasuk menjahit atau merakit bagian.","Kerajinan tangan, Seni","Ketelitian, Koordinasi tangan dan mata, Kreativitas",Membutuhkan lingkungan kerja tenang,Asisten Produksi Sepatu,Lulusan SMP/SMK,0-1 tahun,Full-time
Tukang Batu Tradisional,Sanggar Batu Nusantara,Surabaya,Rp 3.000.000,Membuat kerajinan dari batu seperti patung kecil dan aksesoris meja.,"Seni, Kerajinan tangan","Kreativitas, Ketelitian, Koordinasi tangan dan mata","Tidak cocok di suhu dingin, Membutuhkan lingkungan kerja bebas tekanan",Tukang Batu Tradisional,Lulusan SMA/SMK,1-2 tahun,Full-time
Teknisi Peralatan Rumah,Toko Peralatan Mandiri,Medan,Rp 3.500.000,Memperbaiki peralatan rumah tangga sederhana seperti blender atau kipas angin.,Teknologi dasar,"Pemecahan masalah sederhana, Ketelitian, Kreativitas",Membutuhkan lingkungan kerja,Teknisi Peralatan Rumah,Lulusan SMA/SMK,1-2 tahun,Full-time
Staf Packing Barang,PT Logistik Nusantara,Jakarta,Rp 2.500.000,Membantu mengemas barang untuk pengiriman dan memastikan kualitas packing.,"Lingkungan dan alam, Teknologi dasar","Ketelitian, Koordinasi tangan dan mata, Menjaga kebersihan","Membutuhkan istirahat berkala, Tidak boleh mengangkat beban berat",Staf Packing Barang,Lulusan SMP/SMK,0-1 tahun,Full-time
Teknisi Televisi,Toko Elektronik Mandiri,Bandung,Rp 3.200.000,Memperbaiki televisi sederhana seperti mengganti layar atau kabel.,Teknologi dasar,"Pemecahan masalah sederhana, Ketelitian, Kreativitas",Membutuhkan lingkungan kerja tenang,Teknisi Televisi,Lulusan SMA/SMK,1-2 tahun,Full-time
Penjaga Galeri Seni,Galeri Seni Nusantara,Surabaya,Rp 3.000.000,"Mengawasi area galeri seni, memberikan informasi kepada pengunjung, dan menjaga kebersihan ruangan.","Seni, Lingkungan dan alam","Kreativitas, Berbicara dengan orang lain, Ketelitian",Membutuhkan lingkungan kerja tenang,Penjaga Galeri Seni,Lulusan SMP/SMK,0-1 tahun,Full-time
Asisten Fotografi Pernikahan,Studio Foto Pernikahan,Medan,Rp 3.500.000,Membantu fotografer dalam mengambil foto pernikahan dan mengatur peralatan.,"Fotografi, Seni","Kreativitas, Ketelitian, Mendengarkan instruksi",Membutuhkan lingkungan kerja tenang,Asisten Fotografi Pernikahan,Lulusan SMA/SMK,0-1 tahun,Full-time
Penata Rak Makanan,Toko Makanan Nusantara,Solo,Rp 2.600.000,"Menata produk makanan di rak, menjaga kebersihan, dan membantu pelanggan.","Lingkungan dan alam, Sosial","Menjaga kebersihan, Ketelitian, Berbicara dengan orang lain","Tidak boleh berdiri terlalu lama, Membutuhkan lingkungan kerja tenang",Penata Rak Makanan,Lulusan SMP/SMK,0-1 tahun,Full-time
Perajin Gantungan Kunci,Sanggar Aksesoris Nusantara,Jakarta,Rp 3.000.000,Membuat gantungan kunci dari bahan sederhana seperti kayu atau plastik.,"Kerajinan tangan, Seni","Kreativitas, Ketelitian, Koordinasi tangan dan mata","Tidak cocok di suhu dingin, Membutuhkan lingkungan kerja bebas tekanan",Perajin Gantungan Kunci,Lulusan SMP/SMK,0-1 tahun,Full-time
Tukang Roti Tradisional,Toko Roti Nusantara,Bandung,Rp 2.700.000,"Membuat roti dengan resep tradisional, mengatur bahan, dan memanggang.",Memasak,"Mengikuti langkah sederhana, Ketelitian, Kreativitas",Tidak alergi bahan kimia tertentu,Tukang Roti Tradisional,Lulusan SMA/SMK,1-2 tahun,Full-time
Teknisi Sistem Pendingin,PT Pendingin Mandiri,Surabaya,Rp 3.500.000,Memasang dan memperbaiki sistem pendingin sederhana untuk rumah atau kantor kecil.,Teknologi dasar,"Pemecahan masalah sederhana, Ketelitian, Kreativitas",Membutuhkan lingkungan kerja tenang,Teknisi Sistem Pendingin,Lulusan SMA/SMK,1-2 tahun,Full-time
Asisten Pemandu Wisata,PT Wisata Tradisional,Medan,Rp 3.000.000,Membantu pemandu wisata dalam memberikan informasi dan menjaga kelancaran tur.,"Lingkungan dan alam, Sosial","Berbicara dengan orang lain, Kesabaran, Kreativitas",Membutuhkan lingkungan kerja tenang,Asisten Pemandu Wisata,Lulusan SMP/SMK,0-1 tahun,Full-time
Tukang Perajin Keramik,Sanggar Keramik Nusantara,Solo,Rp 3.200.000,Membuat barang keramik seperti pot bunga dan dekorasi meja.,"Seni, Kerajinan tangan","Kreativitas, Ketelitian, Koordinasi tangan dan mata","Tidak cocok di suhu dingin, Membutuhkan lingkungan kerja bebas tekanan",Tukang Perajin Keramik,Lulusan SMA/SMK,0-1 tahun,Full-time
Pengasuh Anak,Taman Bermain Anak Mandiri,Jakarta,Rp 2.900.000,"Mengawasi anak-anak, membantu aktivitas bermain, dan menjaga keamanan area.","Sosial, Lingkungan dan alam","Kesabaran, Kreativitas, Berbicara dengan orang lain",Membutuhkan istirahat berkala,Pengasuh Anak,Lulusan SMP/SMK,0-1 tahun,Full-time
Teknisi Sound System,PT Audio Mandiri,Bandung,Rp 3.200.000,Memperbaiki dan memasang sound system sederhana untuk acara kecil.,"Teknologi dasar, Musik","Pemecahan masalah sederhana, Ketelitian, Kreativitas",Membutuhkan lingkungan kerja tenang,Teknisi Sound System,Lulusan SMA/SMK,1-2 tahun,Full-time
Penata Dekorasi Rumah,Studio Interior Nusantara,Surabaya,Rp 3.500.000,Menata dekorasi rumah untuk acara keluarga atau perayaan kecil.,"Seni, Lingkungan dan alam","Kreativitas, Ketelitian, Koordinasi tangan dan mata",Membutuhkan lingkungan kerja tenang,Penata Dekorasi Rumah,Lulusan SMA/SMK,0-1 tahun,Full-time
Asisten Desain Perhiasan,Sanggar Perhiasan Mandiri,Medan,Rp 3.200.000,Membantu membuat desain sederhana untuk perhiasan seperti cincin atau gelang.,"Seni, Kerajinan tangan","Kreativitas, Ketelitian, Koordinasi tangan dan mata",Membutuhkan lingkungan kerja tenang,Asisten Desain Perhiasan,Lulusan SMA/SMK,0-1 tahun,Full-time
Staf Administrasi Online,PT Administrasi Digital,Solo,Rp 3.000.000,"Membantu input data online, menjaga kerapian dokumen digital, dan mengelola email sederhana.",Teknologi dasar,"Mengetik, Ketelitian, Mengatur waktu",Membutuhkan lingkungan kerja tenang,Staf Administrasi Online,Lulusan SMA/SMK,0-1 tahun,Full-time
Perajin Lampu Hias,Studio Lampu Kreatif,Jakarta,Rp 3.000.000,Membuat lampu hias dari bahan sederhana seperti bambu atau kaca.,"Kerajinan tangan, Seni","Kreativitas, Ketelitian, Koordinasi tangan dan mata","Tidak cocok di suhu dingin, Membutuhkan lingkungan kerja bebas tekanan",Perajin Lampu Hias,Lulusan SMP/SMK,0-1 tahun,Full-time
Teknisi Jaringan Komputer,PT Teknologi Digital Nusantara,Bandung,Rp 3.500.000,Memasang dan memperbaiki jaringan komputer sederhana untuk rumah atau kantor kecil.,Teknologi dasar,"Pemecahan masalah sederhana, Ketelitian, Kreativitas",Membutuhkan lingkungan kerja tenang,Teknisi Jaringan Komputer,Lulusan SMA/SMK,1-2 tahun,Full-time
Tukang Dekorasi Kue,Toko Kue Mandiri,Surabaya,Rp 2.800.000,Mendekorasi kue sederhana seperti buttercream atau fondant.,"Seni, Memasak","Kreativitas, Ketelitian, Koordinasi tangan dan mata",Tidak alergi bahan kimia tertentu,Tukang Dekorasi Kue,Lulusan SMA/SMK,0-1 tahun,Full-time
Teknisi Elektronik Rumah,Toko Elektronik Nusantara,Medan,Rp 3.200.000,Memperbaiki perangkat elektronik rumah sederhana seperti blender atau kipas angin.,Teknologi dasar,"Pemecahan masalah sederhana, Ketelitian, Kreativitas",Membutuhkan lingkungan kerja tenang,Teknisi Elektronik Rumah,Lulusan SMA/SMK,1-2 tahun,Full-time
Tukang Jahit Seprai,Konveksi Rumah Sejahtera,Jakarta,Rp 2.700.000,Menjahit seprai dan pelapis kasur untuk produksi rumah tangga sederhana.,"Kerajinan tangan, Seni","Ketelitian, Koordinasi tangan dan mata, Kreativitas",Membutuhkan lingkungan kerja tenang,Tukang Jahit Seprai,Lulusan SMA/SMK,0-1 tahun,Full-time
Penata Tanaman Hias,Taman Hias Nusantara,Bandung,Rp 3.200.000,Merawat dan menata tanaman hias untuk dekorasi kantor atau rumah.,"Berkebun, Lingkungan dan alam","Kreativitas, Ketelitian, Koordinasi tangan dan mata","Tidak cocok di suhu panas, Membutuhkan lingkungan kerja tenang",Penata Tanaman Hias,Lulusan SMP/SMK,0-1 tahun,Full-time
Staf Pengemasan Makanan,Pabrik Makanan Nusantara,Surabaya,Rp 2.500.000,Membantu mengemas makanan ringan dan menjaga kebersihan area kerja.,Lingkungan dan alam,"Menjaga kebersihan, Ketelitian, Kerja tim","Membutuhkan istirahat berkala, Tidak boleh mengangkat beban berat",Staf Pengemasan Makanan,Lulusan SMP/SMK,0-1 tahun,Full-time
Teknisi Kamera,Toko Kamera Mandiri,Medan,Rp 3.500.000,Memperbaiki kamera digital sederhana dan mengganti komponen kecil.,Teknologi dasar,"Pemecahan masalah sederhana, Ketelitian, Kreativitas",Membutuhkan lingkungan kerja tenang,Teknisi Kamera,Lulusan SMA/SMK,1-2 tahun,Full-time
Asisten Seni Keramik,Studio Seni Keramik Nusantara,Solo,Rp 3.000.000,Membantu membuat kerajinan keramik kecil seperti gelas atau mangkuk.,"Seni, Kerajinan tangan","Kreativitas, Ketelitian, Koordinasi tangan dan mata","Tidak cocok di suhu dingin, Membutuhkan lingkungan kerja bebas tekanan",Asisten Seni Keramik,Lulusan SMP/SMK,0-1 tahun,Full-time
Pengasuh Hewan Eksotik,Peternakan Eksotik Nusantara,Jakarta,Rp 2.800.000,"Merawat hewan eksotik seperti reptil dan burung, memberi makan, dan menjaga kebersihan kandang.","Merawat hewan, Lingkungan dan alam","Kesabaran, Koordinasi tangan dan mata, Ketahanan fisik ringan","Tidak alergi bahan kimia tertentu, Membutuhkan istirahat berkala",Pengasuh Hewan Eksotik,Lulusan SMA/SMK,0-1 tahun,Full-time
Penulis Blog,Studio Konten Digital,Bandung,Rp 3.200.000,"Membuat artikel blog sederhana untuk media online, dengan tema beragam seperti travel atau makanan.","Seni, Teknologi dasar","Mengetik, Kreativitas, Mengatur waktu",Membutuhkan lingkungan kerja tenang,Penulis Blog,Lulusan SMA/SMK,0-1 tahun,Full-time
Teknisi Mesin Cuci,PT Peralatan Rumah Mandiri,Surabaya,Rp 3.500.000,Memperbaiki mesin cuci sederhana dan mengganti komponen seperti selang atau panel kontrol.,Teknologi dasar,"Pemecahan masalah sederhana, Ketelitian, Kreativitas",Membutuhkan lingkungan kerja tenang,Teknisi Mesin Cuci,Lulusan SMA/SMK,1-2 tahun,Full-time
Penjaga Stand Minuman,Toko Minuman Tradisional,Medan,Rp 2.600.000,"Menjaga stand minuman, melayani pelanggan, dan menjaga kebersihan area kerja.","Sosial, Lingkungan dan alam","Berbicara dengan orang lain, Ketelitian, Menjaga kebersihan","Tidak boleh berdiri terlalu lama, Membutuhkan istirahat berkala",Penjaga Stand Minuman,Lulusan SMP/SMK,0-1 tahun,Full-time
Perajin Mainan Edukasi,Studio Mainan Nusantara,Solo,Rp 3.000.000,Membuat mainan edukasi sederhana seperti puzzle atau balok kayu.,"Kerajinan tangan, Seni","Kreativitas, Ketelitian, Koordinasi tangan dan mata",Membutuhkan lingkungan kerja tenang,Perajin Mainan Edukasi,Lulusan SMP/SMK,0-1 tahun,Full-time
Staf Gudang Peralatan Dapur,Gudang Peralatan Mandiri,Jakarta,Rp 2.800.000,"Menyusun peralatan dapur, memeriksa stok, dan mencatat barang masuk dan keluar.","Lingkungan dan alam, Teknologi dasar","Ketelitian, Koordinasi tangan dan mata, Menjaga kebersihan","Tidak boleh mengangkat beban berat, Membutuhkan istirahat berkala",Staf Gudang Peralatan Dapur,Lulusan SMP/SMK,0-1 tahun,Full-time
Teknisi Headphone,Toko Audio Digital,Bandung,Rp 3.200.000,"Memperbaiki headphone sederhana, mengganti kabel, dan memastikan kualitas suara.","Teknologi dasar, Musik","Pemecahan masalah sederhana, Kreativitas, Ketelitian",Membutuhkan lingkungan kerja tenang,Teknisi Headphone,Lulusan SMA/SMK,1-2 tahun,Full-time
Tukang Dekorasi Lampion,Studio Dekorasi Tradisional,Surabaya,Rp 3.000.000,Membuat lampion untuk festival atau dekorasi rumah.,"Seni, Kerajinan tangan","Kreativitas, Ketelitian, Koordinasi tangan dan mata","Tidak cocok di suhu dingin, Membutuhkan lingkungan kerja bebas tekanan",Tukang Dekorasi Lampion,Lulusan SMP/SMK,0-1 tahun,Full-time
Asisten Pembuat Lilin,Sanggar Lilin Kreatif,Medan,Rp 2.700.000,Membantu proses pembuatan lilin hias untuk dekorasi atau souvenir.,"Seni, Kerajinan tangan","Ketelitian, Kreativitas, Koordinasi tangan dan mata",Membutuhkan lingkungan kerja tenang,Asisten Pembuat Lilin,Lulusan SMP/SMK,0-1 tahun,Full-time
Pengelola Kebun Herbal,Kebun Herbal Nusantara,Solo,Rp 3.200.000,"Menanam, merawat, dan memanen tanaman herbal untuk produksi obat tradisional.","Berkebun, Lingkungan dan alam","Menggunakan alat sederhana, Ketelitian, Kesabaran","Tidak cocok di suhu panas, Membutuhkan lingkungan kerja tenang",Pengelola Kebun Herbal,Lulusan SMA/SMK,1-2 tahun,Full-time
Teknisi Komponen Elektronik,PT Komponen Digital,Jakarta,Rp 3.500.000,Memasang dan memperbaiki komponen kecil seperti resistor atau kabel elektronik.,Teknologi dasar,"Pemecahan masalah sederhana, Ketelitian, Kreativitas",Membutuhkan lingkungan kerja tenang,Teknisi Komponen Elektronik,Lulusan SMA/SMK,1-2 tahun,Full-time
Staf Produksi Garmen,Konveksi Nusantara Mandiri,Bandung,Rp 2.900.000,Membantu proses produksi garmen seperti pemotongan kain dan menjahit bagian kecil.,"Kerajinan tangan, Seni","Ketelitian, Koordinasi tangan dan mata, Kreativitas",Membutuhkan lingkungan kerja tenang,Staf Produksi Garmen,Lulusan SMP/SMK,0-1 tahun,Full-time
Asisten Dekorasi Pesta,Studio Dekorasi Bahagia,Surabaya,Rp 3.000.000,"Membantu menata dekorasi pesta seperti meja tamu, bunga, dan hiasan dinding.","Seni, Lingkungan dan alam","Kreativitas, Ketelitian, Koordinasi tangan dan mata",Membutuhkan lingkungan kerja tenang,Asisten Dekorasi Pesta,Lulusan SMP/SMK,0-1 tahun,Full-time
Tukang Jahit Gorden,Konveksi Interior Nusantara,Medan,Rp 2.800.000,"Menjahit gorden sesuai pesanan pelanggan, memastikan ukuran dan desain sesuai permintaan.","Kerajinan tangan, Seni","Kreativitas, Ketelitian, Koordinasi tangan dan mata",Membutuhkan lingkungan kerja tenang,Tukang Jahit Gorden,Lulusan SMP/SMK,0-1 tahun,Full-time
Teknisi Mesin Kopi,Toko Kopi Nusantara,Solo,Rp 3.500.000,Memperbaiki mesin kopi sederhana seperti mengganti filter atau membersihkan komponen.,Teknologi dasar,"Pemecahan masalah sederhana, Ketelitian, Kreativitas",Membutuhkan lingkungan kerja tenang,Teknisi Mesin Kopi,Lulusan SMA/SMK,1-2 tahun,Full-time
